Date,Total_Assets,Total_Liabilities,EBITDA,Stock,Debt_Equity_Ratio,Total_Assets_Billions,Total_Liabilities_Billions,EBITDA_Billions,Asset_Liability_Ratio,Total_Equity,ROA,Operating_Margin_Ratio
2024-03-31,231279300000.0,50824000000.0,58505000000.0,EICHERMOT.NS,0.0232434292592126,231.2793,50.824,58.505,4.550592239886668,180455300000.0,0.25296254355664344,0.23392542327778332
2021-03-31,17979782000000.0,15816377200000.0,0.0,HDFCBANK.NS,0.6873609830283766,17979.782,15816.3772,0.0,1.1367825749628682,2163404800000.0,0.0,0.0
2022-03-31,21113705500000.0,18604252100000.0,0.0,HDFCBANK.NS,0.8729660963357956,21113.7055,18604.2521,0.0,1.1348860135044074,2509453400000.0,0.0,0.0
2023-03-31,25755624000000.0,22837786100000.0,0.0,HDFCBANK.NS,1.0822718365530233,25755.624,22837.7861,0.0,1.127763605772628,2917837900000.0,0.0,0.0
2024-03-31,44118573000000.0,36232390200000.0,0.0,HDFCBANK.NS,1.164987862814699,44118.573,36232.3902,0.0,1.2176556047356766,7886182800000.0,0.0,0.0
2021-03-31,15738122446000.0,14066364048000.0,0.0,ICICIBANK.NS,0.8901752617111913,15738.122446,14066.364048,0.0,1.1188479405406613,1671758398000.0,0.0,0.0
2022-03-31,17526373837000.0,15646040029000.0,0.0,ICICIBANK.NS,0.8706402502417224,17526.373837,15646.040029,0.0,1.1201795345349235,1880333808000.0,0.0,0.0
2023-03-31,19584904970000.0,17373059551000.0,0.0,ICICIBANK.NS,0.8555306835509656,19584.90497,17373.059551,0.0,1.1273146743385614,2211845419000.0,0.0,0.0
2024-03-31,23640630275000.0,20940307767000.0,0.0,ICICIBANK.NS,0.7847103000307781,23640.630275,20940.307767,0.0,1.1289533343084603,2700322508000.0,0.0,0.0
2021-03-31,48456185465000.0,45604310699000.0,0.0,SBIN.NS,1.547997932295056,48456.185465,45604.310699,0.0,1.0625352016572094,2851874766000.0,0.0,0.0
