Date,Total_Assets,Total_Liabilities,EBITDA,Operating_Margin_%,Date_x,Stock,Debt_Equity_Ratio,Date_y
2023-03-31,13444179600000.0,12142428600000.0,,,2023-03-31,AXISBANK.NS,1.529064226384442,2023-03-31
2024-03-31,15182385300000.0,13607155700000.0,,,2024-03-31,AXISBANK.NS,1.4532826037780837,2024-03-31
2020-03-31,,,,,2020-03-31,KOTAKBANK.NS,,2020-03-31
2021-03-31,4788542173000.0,3940156140000.0,,,2021-03-31,KOTAKBANK.NS,0.562702585180348,2021-03-31
2022-03-31,5464979078000.0,4493325718000.0,,,2022-03-31,KOTAKBANK.NS,0.5676907770894756,2022-03-31
2023-03-31,6204297348000.0,5081153365000.0,,,2023-03-31,KOTAKBANK.NS,0.4659591663413648,2023-03-31
2024-03-31,7676669590000.0,6376952690000.0,,,2024-03-31,KOTAKBANK.NS,0.5778612727125423,2024-03-31
2020-03-31,,,,,2020-03-31,HINDUNILVR.NS,,2020-03-31
2021-03-31,687570000000.0,210630000000.0,118570000000.0,22.780164504220547,2021-03-31,HINDUNILVR.NS,0.0211645760792046,2021-03-31
2022-03-31,705170000000.0,214300000000.0,130840000000.0,22.82532784977109,2022-03-31,HINDUNILVR.NS,0.02125924869040582,2022-03-31
2023-03-31,730870000000.0,225650000000.0,146100000000.0,21.847554115098493,2023-03-31,HINDUNILVR.NS,0.024232665394402036,2023-03-31
2024-03-31,784990000000.0,270760000000.0,154760000000.0,22.05655611324345,2024-03-31,HINDUNILVR.NS,0.028974188761763442,2024-03-31
2020-03-31,,,,,2020-03-31,ITC.NS,,2020-03-31
2021-03-31,738193000000.0,131251500000.0,196283400000.0,31.52248052767553,2021-03-31,ITC.NS,0.004493652909970845,2021-03-31
2022-03-31,772595500000.0,144376800000.0,225122400000.0,31.449770777492386,2022-03-31,ITC.NS,0.003993879168823533,2022-03-31
2023-03-31,858829800000.0,163441900000.0,277673300000.0,34.018969546967035,2023-03-31,ITC.NS,0.00442540451731365,2023-03-31
2024-03-31,918261600000.0,169361900000.0,290022300000.0,34.72671526572594,2024-03-31,ITC.NS,0.004072503254727744,2024-03-31
2020-12-31,78997300000.0,58803900000.0,33473500000.0,21.31253498829209,2020-12-31,NESTLEIND.NS,0.07303871561995504,2020-12-31
2021-12-31,82341300000.0,62877500000.0,34500200000.0,21.635537917067282,2021-12-31,NESTLEIND.NS,0.13690029696153885,2021-12-31
2022-12-31,89787400000.0,65195700000.0,38135500000.0,19.92515573693844,2022-12-31,NESTLEIND.NS,0.1100045950462961,2022-12-31
2020-03-31,,,,,2020-03-31,TITAN.NS,,2020-03-31
2021-03-31,164520000000.0,89500000000.0,19060000000.0,9.839859298343052,2021-03-31,TITAN.NS,0.7521675336801387,2021-03-31
2022-03-31,211940000000.0,118610000000.0,35210000000.0,10.338947661469932,2022-03-31,TITAN.NS,0.7821132967859831,2022-03-31
2023-03-31,270230000000.0,151190000000.0,51880000000.0,11.076223205676564,2023-03-31,TITAN.NS,0.7903974348156274,2023-03-31
2024-03-31,315500000000.0,221570000000.0,58260000000.0,9.272420292131303,2024-03-31,TITAN.NS,1.653145959757266,2024-03-31
2020-03-31,,,,,2020-03-31,BRITANNIA.NS,,2020-03-31
2021-03-31,80087800000.0,44247800000.0,28177700000.0,17.941728039344753,2021-03-31,BRITANNIA.NS,0.598002627083768,2021-03-31
2022-03-31,75274100000.0,49418100000.0,24205800000.0,14.349353552289154,2022-03-31,BRITANNIA.NS,0.969938626324225,2022-03-31
2023-03-31,93527200000.0,57882200000.0,34243900000.0,16.331600447922728,2023-03-31,BRITANNIA.NS,0.8509876155471993,2023-03-31
2024-03-31,90735600000.0,51075400000.0,33760700000.0,17.341614786709464,2024-03-31,BRITANNIA.NS,0.5263527776086383,2024-03-31
2020-03-31,,,,,2020-03-31,DABUR.NS,,2020-03-31
2021-03-31,108471300000.0,31469100000.0,23202000000.0,18.697575992789087,2021-03-31,DABUR.NS,0.06642630745883424,2021-03-31
2022-03-31,122845300000.0,38626800000.0,25537400000.0,18.639937157835423,2022-03-31,DABUR.NS,0.12290456134489876,2022-03-31
2023-03-31,136543700000.0,42129400000.0,25987800000.0,16.352412066326462,2023-03-31,DABUR.NS,0.13080976144678746,2023-03-31
2024-03-31,151226800000.0,48196000000.0,28681300000.0,16.46401585430998,2024-03-31,DABUR.NS,0.1383588579305312,2024-03-31
2020-03-31,,,,,2020-03-31,COLPAL.NS,,2020-03-31
2021-03-31,28940148000.0,17281518000.0,15399754000.0,27.585623118912885,2021-03-31,COLPAL.NS,0.07820430016219744,2021-03-31
2022-03-31,29018314000.0,11671538000.0,15922087000.0,27.286884671771332,2022-03-31,COLPAL.NS,0.0478784069154983,2022-03-31
2023-03-31,28829893000.0,11666050000.0,15893902000.0,26.306281104707764,2023-03-31,COLPAL.NS,0.040178356327309685,2023-03-31
2024-03-31,31965277000.0,13221661000.0,19578320000.0,30.4734632175135,2024-03-31,COLPAL.NS,0.03827932667848082,2024-03-31
2020-03-31,,,,,2020-03-31,RELIANCE.NS,,2020-03-31
2021-03-31,13212120000000.0,5217800000000.0,999400000000.0,11.600388928390917,2021-03-31,RELIANCE.NS,0.37151585610392873,2021-03-31
2022-03-31,14996650000000.0,6106810000000.0,1263740000000.0,11.317124617256951,2022-03-31,RELIANCE.NS,0.3617439719815006,2022-03-31
2023-03-31,16074310000000.0,7785500000000.0,1533070000000.0,11.62120444047002,2023-03-31,RELIANCE.NS,0.46711143891645435,2023-03-31
